ID,技能名称,技能图标,技能描述,类型(影响技能所在位置),发动类型,触发条件,初始等级,起始效果,终极效果,获取途径,,,,,,,,,,,,,,
SK101101,顽实,S1011,攻击时有一定几率生成一个护盾，使下次被攻击有一定伤害减免,1,1,1,1,主动攻击有75%的几率生成一个免伤20%的护盾,主动攻击有75%的几率生成一个免伤20%的护盾,男主角灵魂爆裂获取,SK101101,D10030113|1,1,1000,D10030114|1,10,10000,D10030108|5,20,20000,D10030106|10,30,50000,D10030112|2
SK101201,预判,S1012,生命值低于一定程度，下一个触发的觉醒技能效果会翻倍,2,2,3,1,生命值低于40%之后，下一个触发的觉醒技效果会翻倍,生命值低于40%之后，下一个触发的觉醒技效果会翻倍,男主角灵魂爆裂获取,SK101201,D10030113|2,1,1000,D10030114|2,10,10000,D10030108|6,20,20000,D10030106|11,30,50000,D10030112|3
SK102101,强固,S1021,被攻击时，如果身上没有护盾，则产生一个伤害减免的护盾，持续一次,1,1,2,1,被攻击时，如果身上没有护盾，则产生一个免伤20%的护盾，持续一次,被攻击时，如果身上没有护盾，则产生一个免伤20%的护盾，持续一次,丛林收割者灵魂爆裂获取,SK102101,D10030113|3,1,1000,D10030114|3,10,10000,D10030108|7,20,20000,D10030106|12,30,50000,D10030112|4
SK102201,收割固化,S1022,生命值低于一定程度，产生一个永久的伤害减免护盾,2,2,3,1,生命值低于50%之后，产生一个持久免伤25%的护盾,生命值低于50%之后，产生一个持久免伤25%的护盾,丛林收割者灵魂爆裂获取,SK102201,D10030113|4,1,1000,D10030114|4,10,10000,D10030108|8,20,20000,D10030106|13,30,50000,D10030112|5
SK103101,伤痕,S1031,被攻击就叠加一个伤害减免的状态，发起攻击则状态消失,1,1,1,1,每次受到攻击，则使下次受到的攻击伤害减免10%，无限叠加，直到发起攻击,每次受到攻击，则使下次受到的攻击伤害减免10%，无限叠加，直到发起攻击,大雪人灵魂爆裂获取,SK103101,D10030113|5,1,1000,D10030114|5,10,10000,D10030108|9,20,20000,D10030106|14,30,50000,D10030112|6
SK103201,冰霜之心,S1032,生命值低于一定程度，攻击有一定几率冻结目标一回合,2,2,3,1,生命值15%以后，攻击该单位的目标有50%的几率被冻结一回合,生命值15%以后，攻击该单位的目标有50%的几率被冻结一回合,大雪人灵魂爆裂获取,SK103201,D10030113|6,1,1000,D10030114|6,10,10000,D10030108|10,20,20000,D10030106|15,30,50000,D10030112|7
SK104101,铁臂,S1041,攻击有几率施放一个全体护盾，可抵消任下一次的指向性攻击,1,1,1,1,攻击有50%的几率施放一个护盾，可以抵消一次己方任何单位受到指向性攻击,攻击有50%的几率施放一个护盾，可以抵消一次己方任何单位受到指向性攻击,铁拳灵魂爆裂获取,SK104101,D10030113|7,1,1000,D10030114|7,10,10000,D10030108|11,20,20000,D10030106|16,30,50000,D10030112|8
SK104201,绝对守护,S1042,生命值低于一定程度，释放一个全体护盾，抵挡三次攻击,2,2,3,1,生命值低于20%的瞬间，对己方全体施放一个可以抵挡三次任何攻击的护盾,生命值低于20%的瞬间，对己方全体施放一个可以抵挡三次任何攻击的护盾,铁拳灵魂爆裂获取,SK104201,D10030113|8,1,1000,D10030114|8,10,10000,D10030108|12,20,20000,D10030106|17,30,50000,D10030112|9
SK105101,战斗强化,S1051,每次格挡都能给自己提供额外的护甲,1,1,4,1,战斗中每次被攻击都能提供额外2%的护甲，无限叠加,战斗中每次被攻击都能提供额外2%的护甲，无限叠加,思维守护者灵魂爆裂获取,SK105101,D10030113|9,1,1000,D10030114|9,10,10000,D10030108|13,20,20000,D10030106|18,30,50000,D10030112|10
SK105201,破釜沉舟,S1052,生命低于一定程度时，根据获得的额外的护甲加成回复生命值,2,2,3,1,生命值低于20%的瞬间，消耗所有附加护甲，转化为对应点数*10的生命值加给自己,生命值低于20%的瞬间，消耗所有附加护甲，转化为对应点数*10的生命值加给自己,思维守护者灵魂爆裂获取,SK105201,D10030113|10,1,1000,D10030114|10,10,10000,D10030108|14,20,20000,D10030106|19,30,50000,D10030112|11
